,Unnamed: 0,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
134,132,75.9040643758134,26.8890728771175,4.0,133,589786.9785730278,2974469.528012879,9894,10516,12097,12939,14889,15662,14050,0.0700733074601118,2.325057437189645,0.0253019541095217
135,5,75.8261635319702,26.9334758155231,2.0,6,582017.8367197503,2979334.9653314976,7021,7619,8986,8529,10189,9059,8706,0.0886846885350994,3.3550456323337507,3.3461138819617453
136,137,75.891811375511,26.888402587087,4.0,138,588570.5380130336,2974386.656641404,8837,9606,10842,11933,13916,14035,12869,0.0767147665286855,2.522901688343152,0.0042574505384422
137,10,75.8443145951973,26.953817567225,2.0,11,583804.8243457709,2981600.02840788,7328,7629,8272,8122,8186,7960,7805,0.00392445425558,0.0052254222870336,4.044964697138585
138,165,75.8663346482432,26.892661922235,4.0,166,586036.965392322,2974840.882980253,8043,8686,10115,10552,13761,13686,12701,0.1319870028379873,2.5921427374769537,2.384996538783829
139,63,75.786587705228,26.8422166185914,4.0,64,578151.5370885348,2969201.7146660336,9087,9655,10349,10676,14562,15419,14031,0.1539741659402482,2.461683593593182,0.0285847703545577
140,140,75.8915206397748,26.8955619545909,3.0,141,588536.080501473,2975179.464179649,10057,10773,12681,14343,16043,18118,17420,0.0559468176133744,2.164531402311648,0.0607417815637713
141,252,75.7597366593562,26.9292077715771,3.0,253,575425.8723502158,2978820.876458338,8609,9018,10332,10435,18022,15135,12397,0.266612784200723,2.040135430627065,1.8894652712850923
142,115,75.9219285807168,26.9263334424379,3.0,116,591531.1922244313,2978609.5298619,8959,9608,11127,12148,17043,18819,16172,0.1676886711657697,2.1164359247426265,0.0495231721599463
143,96,75.6857762749152,26.7998356008034,2.0,97,568160.4484126417,2964449.429847253,9229,9827,11315,11844,14144,15293,14513,0.0885023857164842,2.4630582505204357,0.0390325101063286
144,124,75.9059767314034,26.8938082338165,1.0,125,589973.1616035,2974995.400240904,7657,8097,9051,8919,14340,12267,10152,0.2330710692635099,2.575648753794184,2.3851993836208427
145,190,75.7553028340031,26.8965090806172,3.0,191,575007.2837581583,2975196.4173556063,8645,9060,10492,11359,14253,15634,15033,0.1129939091051065,2.496463932107486,0.0462073811356106
146,176,75.7561376716894,26.8961604670778,4.0,177,575090.4228556346,2975158.2984949504,8646,9511,11011,11691,13646,14505,12954,0.0771598847535222,2.551040272539228,0.0305140137117685
147,185,75.755174397436,26.8920871930919,3.0,186,574997.4488745487,2974706.558599693,8093,8536,9903,9782,18332,12799,10730,0.3041189442982133,2.022560651673448,1.9274356750505863
148,298,75.8727521615344,26.9214616985176,1.0,299,586652.335677771,2978035.2767224587,8241,8534,9279,9453,13559,13692,11491,0.178428645923865,2.6821963394342645,0.0048805548420241
149,135,75.8986436653117,26.887766602664,4.0,136,589249.6218204116,2974321.006965542,9067,9683,10790,11303,14072,13696,12610,0.1091231527093591,2.50398198053253,2.346585998271383
150,14,75.8082244727911,26.9054741596554,3.0,15,580256.6651878546,2976221.8697877,8380,8610,9637,9302,17076,14427,11264,0.2947152930472352,2.174858683038213,1.9962225819763133
151,70,75.7804675131625,26.835191606507,2.0,71,577548.2276160755,2968419.849566009,8583,9120,9930,10135,11998,10917,10331,0.0841729544119636,2.894381612550151,2.812786384464313
