,X,Y,class,ID,X_utm,Y_utm,B1,B2,B3,B4,B5,B6,B7,NDVI,NDWI,NDBI
200,75.7524221852833,26.8979952751796,4.0,201,574720.2257249209,2975359.330232745,8883,9730,11189,11831,13801,14762,13427,0.07685705368289608,2.51796718687474,0.03364492525294951
201,75.7505231588979,26.8969953047641,4.0,202,574532.290509688,2975247.451179615,9571,10405,11490,12240,14506,14824,13261,0.08472294922605218,2.404985382366509,0.010842141152403647
202,75.7507616839512,26.8970549360275,5.0,203,574555.9393964123,2975254.196534289,9368,10042,11430,12132,14218,14738,13693,0.07916508538899401,2.446506550218331,0.01795828153059809
203,75.7489222888291,26.8975457471947,5.0,204,574372.9467804813,2975307.478788662,9091,10110,11904,12741,14397,14906,13549,0.06102144594295799,2.3969811033800905,0.017370235129508867
204,75.7490965955988,26.8971329153718,5.0,205,574390.5276584052,2975261.854587532,7869,8577,10557,11111,13551,13350,12675,0.0989376368502145,2.5942425750788014,2.428720121928544
205,75.7511791027943,26.8984310421038,5.0,206,574596.4893504687,2975406.8643365954,9035,9866,11487,12431,14183,14624,13931,0.0658300142781992,2.447993767043232,0.015308779116186985
206,75.7509956219842,26.8966742133463,5.0,207,574579.421952583,2975212.164203008,9738,10583,12250,12693,15445,14889,13329,0.09780368185372061,2.2509839321177028,2.142150721962148
207,75.750036934751,26.89764207462,5.0,208,574483.5790764091,2975318.8034318406,8719,9647,10788,11571,13862,14115,12841,0.09007981755986282,2.5339553752535395,0.009043142581406123
208,75.7495874067661,26.8964723844551,5.0,209,574439.7033252735,2975188.980464112,9120,9852,11262,11849,14318,14653,13650,0.0943554859173765,2.4425332290852135,0.011563287425356351
209,75.7485690882696,26.8984081070025,5.0,210,574337.3058323519,2975402.789156415,8437,9371,10776,11385,13671,14635,13730,0.09123563218390769,2.562318484885661,0.034056383805553474
210,75.7482755189733,26.8997291688358,5.0,211,574307.2870724396,2975548.9419372436,8242,9123,10575,11264,13576,14686,13838,0.09307568438003183,2.5893337749989542,0.03927535206284043
211,75.7489956811532,26.9000319121726,,212,574378.6066564561,2975582.8975795186,9184,9885,11321,12155,14084,14295,14000,0.07351652120888726,2.4708915567801517,0.007435075231685375
212,75.7489085277684,26.9000089770713,5.0,213,574369.9666679479,2975580.3060235395,9184,9885,11321,12155,14084,14295,14000,0.07351652120888726,2.4708915567801517,0.007435075231685375
213,75.749514014442,26.9001144785372,5.0,214,574430.027076294,2975592.3474654667,8889,9758,10425,11146,13330,13376,12093,0.08923026638339562,2.636539675857703,0.0017224593724256658
214,75.7497204303534,26.8992154225673,5.0,215,574451.1153466909,2975492.886438164,8732,9429,10873,11582,14674,14676,13670,0.11776355880560589,2.416526402317288,6.814310051107303e-05
215,75.7498396928801,26.8989080922103,5.0,216,574463.1606989398,2975458.9156518294,9071,9726,10971,11629,14794,13864,12523,0.1197820080990042,2.395226081894033,2.2543792309302737
216,75.7481654304872,26.8993530331749,5.0,217,574296.6005410419,2975507.2153366767,8704,9627,10791,11562,13355,13692,12978,0.07195890355981831,2.607968193489594,0.012459792213554139
217,75.7491287047406,26.8986970892785,4.0,218,574392.6915693405,2975435.126400181,8203,9147,10798,11486,13589,14966,13680,0.08386839481555301,2.572887193996791,0.0482227280686393
218,75.7502479376827,26.8992521187293,4.0,219,574503.4772518729,2975497.2612763927,10194,11089,12059,12834,14911,14787,13424,0.07486033519553047,2.3242120875046264,2.2025725638090035
219,75.7488351354443,26.8993989033775,4.0,220,574363.0778282342,2975512.689175622,8862,9804,11578,12320,14105,14494,13557,0.06754966887417194,2.4533348907837778,0.013601874191405247
220,75.7477204895225,26.898921853271,4.0,221,574252.6961599039,2975459.1954808254,8940,9744,10754,11296,12666,13695,12936,0.05717385860946475,2.716652433817239,0.03903493797655613
221,75.7478397520491,26.8973439183035,4.0,222,574265.572079309,2975284.4882729505,8445,9263,10458,10947,12634,13007,12384,0.07154064713116462,2.7438073791789246,0.014547014547014491
222,75.7481837785682,26.896288903645,5.0,223,574300.4277625892,2975167.8332728855,8570,9225,10969,11526,14069,14715,13701,0.09935534284039814,2.4936496525281475,0.022443023902167795
223,75.7483030410948,26.8961421189968,5.0,224,574312.3679160416,2975151.6449128613,9435,10421,12153,12793,14987,16273,14831,0.07897768178545689,2.3103168754605665,0.04113883557261663
224,75.7468351946134,26.8968760422375,5.0,225,574166.1149411293,2975232.0761184916,8364,9268,11209,11979,15063,15091,13828,0.1140448191701793,2.3478227771010873,0.0009285666909862675
225,75.7489314628697,26.8948531663053,5.0,226,574375.6214859791,2975009.2453053086,7914,9209,11476,12460,13999,15039,14549,0.058165463547374965,2.4735230618253095,0.035815138783662666
226,75.7484314776619,26.8944311604419,5.0,227,574326.2429958393,2974962.209078646,8602,9106,10141,10510,12814,12773,12086,0.09878237009089308,2.738531910259191,2.5596982842849787
227,75.7474269202262,26.8948990365079,5.0,228,574226.1718558872,2975013.443371116,8345,8987,10619,11112,14456,14724,13550,0.13078848560700826,2.460578265204377,0.00918437285812197
228,75.7472709615376,26.8951788447434,5.0,229,574210.5003822426,2975044.344420163,8760,9291,10514,10771,14859,14367,12988,0.1595005852516576,2.411658061719141,2.2255525901594395
229,75.7470783066869,26.8954632399992,5.0,230,574191.1816248619,2975075.7320635132,9081,9880,10813,11158,14428,14718,12982,0.1278042679590396,2.45319123648032,0.009949907362931415
230,75.7472159172945,26.8943807032191,4.0,231,574205.5553828753,2974955.907497803,10792,11505,13208,13874,14547,14569,13387,0.023679673480876736,2.3129886506935606,0.0007555982964692927
231,75.7465370382969,26.8941651132672,4.0,232,574138.274803764,2974931.6305031977,9233,10054,11678,12358,13896,15808,15334,0.05858154947817454,2.475873934464681,0.06436843522757857
232,75.7459315516233,26.8946192282723,4.0,233,574077.8459245898,2974981.5754124657,8956,9936,11477,12155,14403,15010,13277,0.08464492808193357,2.419242658423484,0.020637133240403834
233,75.7462251209196,26.8952522370675,4.0,234,574106.5879273982,2975051.861195283,9091,10023,11543,12413,15088,14808,13929,0.09726919021126469,2.327775900266598,2.1827669253411757
234,75.7496699731306,26.8946788595357,3.0,235,574449.0789548256,2974990.372439676,7699,8190,9177,9413,14051,12809,11046,0.19766450733037763,2.611589460995339,2.393670886075941
235,75.7488718316064,26.8940091545785,3.0,236,574370.2521123434,2974915.724873382,9057,9585,11008,11947,15994,16315,14710,0.14484091478472444,2.242426486926886,0.009935312142127551
236,75.748234235791,26.8936146708366,3.0,237,574307.1886311797,2974871.6563770445,8162,8493,9605,9883,14484,12728,11297,0.18882094636188212,2.5180372784258274,2.343818903424951
237,75.7486424805936,26.893009184163,3.0,238,574348.1292197013,2974804.830344424,7945,8463,9463,9459,15965,13424,11406,0.25589993706733694,2.3216139688532236,2.143489060532845
238,75.7501974804599,26.8938119127076,3.0,239,574502.0358027559,2974894.656840388,7724,8144,9144,9153,14918,13089,11060,0.2394998130530504,2.4836671930845213,2.274681329667575
239,75.7569892767285,26.9252346336232,1.0,240,575155.7388068464,2978379.1614340898,8062,8305,9109,8831,14371,11500,9600,0.2387725196103774,2.5670357751277577,2.4222101967453815
240,75.7564538893447,26.922332270437,1.0,241,575104.5043744957,2978057.366913641,8126,8346,9079,8927,13804,11661,9824,0.21455281333861154,2.657474981427249,2.4894168466522584
241,75.7568061178867,26.9183450433414,1.0,242,575142.1178714256,2977615.9360512425,8069,8296,9319,8859,15134,11864,9850,0.26153461426249214,2.44227702122438,2.306318986591591
